[2017/03/08 01:01:14] §f[§aD§f] §ffybit11§r executed /mrl flag d1 resetDelay 10 at Location{world=CraftWorld{name=world},x=197.92042486933423,y=25.903902371576134,z=-44.1603772742586,pitch=19.649996,yaw=160.04575}
[2017/03/08 01:02:38] §f[§aD§f] §ffybit11§r executed /mrl set at Location{world=CraftWorld{name=world},x=196.67728713621165,y=25.903902371576134,z=-44.48768698162745,pitch=19.649996,yaw=160.04575}
[2017/03/08 01:03:14] §f[§aD§f] §ffybit11§r executed /mrl set d1 16 30% at Location{world=CraftWorld{name=world},x=196.67728713621165,y=25.903902371576134,z=-44.48768698162745,pitch=19.649996,yaw=160.04575}
[2017/03/08 01:03:31] §f[§aD§f] §ffybit11§r executed /mrl set d1 15 30% at Location{world=CraftWorld{name=world},x=196.67728713621165,y=25.903902371576134,z=-44.48768698162745,pitch=19.649996,yaw=160.04575}
[2017/03/08 01:03:37] §f[§aD§f] §ffybit11§r executed /mrl set d1 1 40% at Location{world=CraftWorld{name=world},x=196.67728713621165,y=25.903902371576134,z=-44.48768698162745,pitch=19.649996,yaw=160.04575}
[2017/03/08 01:03:45] §f[§aD§f] §ffybit11§r executed /mrl reset d1 at Location{world=CraftWorld{name=world},x=197.22672377751888,y=25.903902371576134,z=-43.49474324610642,pitch=19.649996,yaw=160.04575}
[2017/03/08 01:04:34] §f[§aD§f] §ffybit11§r executed /mrl create d2 at Location{world=CraftWorld{name=world},x=161.9300667058773,y=25.52872388546968,z=-72.05568025915345,pitch=23.400011,yaw=36.895477}
[2017/03/08 01:04:42] §f[§aD§f] §ffybit11§r executed /mrl flag d2 resetDelay 10 at Location{world=CraftWorld{name=world},x=161.9300667058773,y=25.52872388546968,z=-72.05568025915345,pitch=23.400011,yaw=36.895477}
[2017/03/08 01:04:52] §f[§aD§f] §ffybit11§r executed /mrl set d2 1 40% at Location{world=CraftWorld{name=world},x=164.80681264641228,y=25.52872388546968,z=-77.06065999221921,pitch=23.400011,yaw=36.895477}
[2017/03/08 01:04:59] §f[§aD§f] §ffybit11§r executed /mrl set d2 16 30% at Location{world=CraftWorld{name=world},x=164.80681264641228,y=25.52872388546968,z=-77.06065999221921,pitch=23.400011,yaw=36.895477}
[2017/03/08 01:05:01] §f[§aD§f] §ffybit11§r executed /mrl set d2 15 30% at Location{world=CraftWorld{name=world},x=164.80681264641228,y=25.52872388546968,z=-77.06065999221921,pitch=23.400011,yaw=36.895477}
